Title,Category,Username,Password/Value,Notes,Tags
# CC Scale production vault - 1Password import
# How to import:
# 1. Create a vault named 'CC Scale - Production' in 1Password
# 2. Desktop: File > Import > select this CSV
# 3. Or CLI: op vault create 'CC Scale - Production' && op import items --vault='CC Scale - Production' 1password-import.csv
# 4. Inject at deploy: op inject -i .env.example -o .env
# IMPORTANT: do NOT commit a filled-in copy. Keep PLACEHOLDER values here.
## - Cloudflare
Cloudflare Account ID,api_key,,__CF_ACCOUNT_ID__,Used for R2 endpoint and zone settings,cloudflare;api
Cloudflare API Token (DNS edit),api_key,,__CF_API_TOKEN__,Scoped to zone ccscale.com - zone:dns:edit,cloudflare;dns
Cloudflare Turnstile Site Key,login,public,0x4AAAA0000000000000000000000000000,Public site key (NEXT_PUBLIC_TURNSTILE_SITE_KEY),cloudflare;turnstile
Cloudflare Turnstile Secret Key,api_key,,0x4AAAA0000000000000000000000000000,Server-side verification (TURNSTILE_SECRET_KEY),cloudflare;turnstile
## - Vercel
Vercel Token (CLI deploy),api_key,,__VERCEL_TOKEN__,Vercel account token,vercel;deploy
Vercel Project ID (Web),api_key,,prj_xxx,Vercel project for www.ccscale.com,vercel;web
Vercel Project ID (Admin),api_key,,prj_xxx,Vercel project for admin.ccscale.com,vercel;admin
Vercel Org ID,api_key,,team_xxx,Vercel team id,vercel
## - Railway
Railway API Token,api_key,,__RAILWAY_TOKEN__,Railway personal token,railway;deploy
Railway Project ID (API),api_key,,__RAILWAY_PROJECT_ID__,Railway project for api.ccscale.com,railway;api
Railway Service ID (API),api_key,,__RAILWAY_SERVICE_ID__,Railway service id,railway;api
## - Neon (Postgres)
Neon API Key,api_key,,__NEON_API_KEY__,Personal API key,neon;db
Neon Project ID,api_key,,__NEON_PROJECT_ID__,Project: ccscale,neon;db
Neon Branch ID (main),api_key,,__NEON_BRANCH_MAIN__,main branch,neon;db
Neon Branch ID (preview),api_key,,__NEON_BRANCH_PREVIEW__,preview branch,neon;db
Neon DATABASE_URL (pooled),database,ccscale,postgresql://user:pass@ep-xxx-pooler.eu-central-1.aws.neon.tech/ccscale?sslmode=require&pgbouncer=true&connection_limit=1,DATABASE_URL for app,neon;db;url
Neon DIRECT_URL (unpooled),database,ccscale,postgresql://user:pass@ep-xxx.eu-central-1.aws.neon.tech/ccscale?sslmode=require,Used by Prisma migrate,neon;db;url
## - Upstash (Redis)
Upstash Email,login,ccscale-bot@example.com,__,Account email,upstash
Upstash API Token,api_key,,__UPSTASH_TOKEN__,REST API token,upstash;redis
Upstash Redis REST URL,api_key,,https://xxx.upstash.io,REDIS_URL alternative,upstash;redis;url
Upstash Redis REST Token,api_key,,__UPSTASH_REDIS_TOKEN__,UPSTASH_REDIS_REST_TOKEN,upstash;redis
## - Cloudflare R2
R2 Account ID,api_key,,__R2_ACCOUNT_ID__,Same as Cloudflare account id,r2;storage
R2 Access Key ID,api_key,,__R2_ACCESS_KEY_ID__,S3-compatible,r2;storage
R2 Secret Access Key,password,,__R2_SECRET_ACCESS_KEY__,S3-compatible secret,r2;storage
R2 Bucket Name,api_key,,ccscale-media,Public bucket,r2;storage
R2 Public URL,api_key,,https://media.ccscale.com,Custom domain,r2;storage
## - Resend (email)
Resend API Key,api_key,,re_xxx,RESEND_API_KEY,resend;email
Email From Address,api_key,,noreply@mail.ccscale.com,EMAIL_FROM,resend;email
Admin Email (recipient),api_key,,sales@ccscale.com,ADMIN_EMAIL,resend;email
## - Sentry
Sentry Auth Token,api_key,,__SENTRY_AUTH_TOKEN__,For source-map upload,sentry
Sentry DSN (Web),api_key,,https://xxx@sentry.io/1,Sentry project cc-scale-web,sentry;web
Sentry DSN (API),api_key,,https://xxx@sentry.io/2,Sentry project cc-scale-api,sentry;api
Sentry Org,api_key,,__SENTRY_ORG__,Organization slug,sentry
Sentry Project (Web),api_key,,cc-scale-web,Project slug,sentry;web
Sentry Project (API),api_key,,cc-scale-api,Project slug,sentry;api
## - App secrets (generated)
JWT_SECRET (API),password,,__JWT_SECRET__,openssl rand -base64 48,api;security
COOKIE_SECRET (API),password,,__COOKIE_SECRET__,openssl rand -base64 48,api;security
## - GitHub
GitHub Token (deploy),api_key,,ghp_xxx,For workflow deploys,github;deploy
## - WhatsApp
WhatsApp Business Number,api_key,,+8613800000000,NEXT_PUBLIC_WHATSAPP_NUMBER,business;contact
## - GA / GSC
GA4 Measurement ID,api_key,,G-XXXXXXXXXX,NEXT_PUBLIC_GA_ID,analytics
Google Search Console verification,api_key,,__GSC_TOKEN__,HTML meta tag,seo;gsc
Bing Webmaster verification,api_key,,__BING_TOKEN__,seo;bing
## - Backup
Neon S3 Backup Access Key,api_key,,__NEON_S3_AK__,For WAL archive,backup
Neon S3 Backup Secret Key,password,,__NEON_S3_SK__,For WAL archive,backup
